,Season,Transfer Type,Player,Club,Transfer Sum
388,10/11,Départs,Vito Mannone,Hull City,Prêt
389,10/11,Départs,Nacer Barazite,Vitesse,Prêt
390,10/11,Départs,Mikaël Silvestre,Werder Bremen,Transfert libre
391,10/11,Départs,William Gallas,Tottenham,Transfert libre
392,10/11,Départs,Pedro Botelho,FC Cartagena,Prêt
393,10/11,Départs,Sol Campbell,Newcastle Utd.,Transfert libre
394,10/11,Départs,Philippe Senderos,FC Fulham,Transfert libre
395,10/11,Départs,Fran Mérida,Atlético Madrid,Transfert libre
396,10/11,Départs,Craig Eastmond,Millwall,Prêt
397,10/11,Départs,Aaron Ramsey,Cardiff,Prêt
398,10/11,Départs,Jay Emmanuel-Thomas,Cardiff,Prêt
399,10/11,Départs,Ryo Miyaichi,Feyenoord,Prêt
400,10/11,Départs,Carlos Vela,West Brom,Prêt
401,10/11,Départs,Wellington Silva,UD Levante,Prêt
402,10/11,Départs,Kerrea Gilbert,Sans club,-
403,10/11,Arrivées,Thomas Vermaelen,Ajax,"12,00 mio. €"
404,10/11,Arrivées,Craig Eastmond,Arsenal U18,-
405,10/11,Arrivées,Sol Campbell,Sans club,-
406,10/11,Arrivées,Philippe Senderos,FC Everton,Fin du prêt
